faculty_id,slot_id
Q3_1,D1-S1
Q3_1,D1-S10
Q3_1,D1-S11
Q3_1,D1-S12
Q3_1,D1-S13
Q3_1,D1-S14
Q3_1,D1-S15
Q3_1,D1-S16
Q3_1,D1-S2
Q3_1,D1-S3
Q3_1,D1-S4
Q3_1,D1-S5
Q3_1,D1-S6
Q3_1,D1-S7
Q3_1,D1-S8
Q3_1,D1-S9
Q3_1,D2-S1
Q3_1,D2-S10
Q3_1,D2-S11
Q3_1,D2-S12
Q3_1,D2-S13
Q3_1,D2-S14
Q3_1,D2-S15
Q3_1,D2-S16
Q3_1,D2-S2
Q3_1,D2-S3
Q3_1,D2-S4
Q3_1,D2-S5
Q3_1,D2-S6
Q3_1,D2-S7
Q3_1,D2-S8
Q3_1,D2-S9
Q3_2,D1-S1
Q3_2,D1-S10
Q3_2,D1-S11
Q3_2,D1-S12
Q3_2,D1-S13
Q3_2,D1-S14
Q3_2,D1-S15
Q3_2,D1-S16
Q3_2,D1-S2
Q3_2,D1-S3
Q3_2,D1-S4
Q3_2,D1-S5
Q3_2,D1-S6
Q3_2,D1-S7
Q3_2,D1-S8
Q3_2,D1-S9
Q3_2,D2-S1
Q3_2,D2-S10
Q3_2,D2-S11
Q3_2,D2-S12
Q3_2,D2-S13
Q3_2,D2-S14
Q3_2,D2-S15
Q3_2,D2-S16
Q3_2,D2-S2
Q3_2,D2-S3
Q3_2,D2-S4
Q3_2,D2-S5
Q3_2,D2-S6
Q3_2,D2-S7
Q3_2,D2-S8
Q3_2,D2-S9
Q3_4,D1-S1
Q3_4,D1-S10
Q3_4,D1-S11
Q3_4,D1-S12
Q3_4,D1-S13
Q3_4,D1-S14
Q3_4,D1-S15
Q3_4,D1-S16
Q3_4,D1-S2
Q3_4,D1-S3
Q3_4,D1-S4
Q3_4,D1-S5
Q3_4,D1-S6
Q3_4,D1-S7
Q3_4,D1-S8
Q3_4,D1-S9
Q3_4,D2-S1
Q3_4,D2-S10
Q3_4,D2-S11
Q3_4,D2-S12
Q3_4,D2-S13
Q3_4,D2-S14
Q3_4,D2-S15
Q3_4,D2-S16
Q3_4,D2-S2
Q3_4,D2-S3
Q3_4,D2-S4
Q3_4,D2-S5
Q3_4,D2-S6
Q3_4,D2-S7
Q3_4,D2-S8
Q3_4,D2-S9
Q3_5,D1-S1
Q3_5,D1-S10
Q3_5,D1-S11
Q3_5,D1-S12
Q3_5,D1-S13
Q3_5,D1-S14
Q3_5,D1-S15
Q3_5,D1-S16
Q3_5,D1-S2
Q3_5,D1-S3
Q3_5,D1-S4
Q3_5,D1-S5
Q3_5,D1-S6
Q3_5,D1-S7
Q3_5,D1-S8
Q3_5,D1-S9
Q3_5,D2-S1
Q3_5,D2-S10
Q3_5,D2-S11
Q3_5,D2-S12
Q3_5,D2-S13
Q3_5,D2-S14
Q3_5,D2-S15
Q3_5,D2-S16
Q3_5,D2-S2
Q3_5,D2-S3
Q3_5,D2-S4
Q3_5,D2-S5
Q3_5,D2-S6
Q3_5,D2-S7
Q3_5,D2-S8
Q3_5,D2-S9
Q3_6,D1-S1
Q3_6,D1-S10
Q3_6,D1-S11
Q3_6,D1-S12
Q3_6,D1-S13
Q3_6,D1-S14
Q3_6,D1-S15
Q3_6,D1-S16
Q3_6,D1-S2
Q3_6,D1-S3
Q3_6,D1-S4
Q3_6,D1-S5
Q3_6,D1-S6
Q3_6,D1-S7
Q3_6,D1-S8
Q3_6,D1-S9
Q3_6,D2-S1
Q3_6,D2-S10
Q3_6,D2-S11
Q3_6,D2-S12
Q3_6,D2-S13
Q3_6,D2-S14
Q3_6,D2-S15
Q3_6,D2-S16
Q3_6,D2-S2
Q3_6,D2-S3
Q3_6,D2-S4
Q3_6,D2-S5
Q3_6,D2-S6
Q3_6,D2-S7
Q3_6,D2-S8
Q3_6,D2-S9
Q3_7,D1-S1
Q3_7,D1-S10
Q3_7,D1-S11
Q3_7,D1-S12
Q3_7,D1-S13
Q3_7,D1-S14
Q3_7,D1-S15
Q3_7,D1-S16
Q3_7,D1-S2
Q3_7,D1-S3
Q3_7,D1-S4
Q3_7,D1-S5
Q3_7,D1-S6
Q3_7,D1-S7
Q3_7,D1-S8
Q3_7,D1-S9
Q3_7,D2-S1
Q3_7,D2-S10
Q3_7,D2-S11
Q3_7,D2-S12
Q3_7,D2-S13
Q3_7,D2-S14
Q3_7,D2-S15
Q3_7,D2-S16
Q3_7,D2-S2
Q3_7,D2-S3
Q3_7,D2-S4
Q3_7,D2-S5
Q3_7,D2-S6
Q3_7,D2-S7
Q3_7,D2-S8
Q3_7,D2-S9
Q3_8,D1-S1
Q3_8,D1-S10
Q3_8,D1-S11
Q3_8,D1-S12
Q3_8,D1-S13
Q3_8,D1-S14
Q3_8,D1-S15
Q3_8,D1-S16
Q3_8,D1-S2
Q3_8,D1-S3
Q3_8,D1-S4
Q3_8,D1-S5
Q3_8,D1-S6
Q3_8,D1-S7
Q3_8,D1-S8
Q3_8,D1-S9
Q3_8,D2-S1
Q3_8,D2-S10
Q3_8,D2-S11
Q3_8,D2-S12
Q3_8,D2-S13
Q3_8,D2-S14
Q3_8,D2-S15
Q3_8,D2-S16
Q3_8,D2-S2
Q3_8,D2-S3
Q3_8,D2-S4
Q3_8,D2-S5
Q3_8,D2-S6
Q3_8,D2-S7
Q3_8,D2-S8
Q3_8,D2-S9
Q3_9,D1-S1
Q3_9,D1-S10
Q3_9,D1-S11
Q3_9,D1-S12
Q3_9,D1-S13
Q3_9,D1-S14
Q3_9,D1-S15
Q3_9,D1-S16
Q3_9,D1-S2
Q3_9,D1-S3
Q3_9,D1-S4
Q3_9,D1-S5
Q3_9,D1-S6
Q3_9,D1-S7
Q3_9,D1-S8
Q3_9,D1-S9
Q3_9,D2-S1
Q3_9,D2-S10
Q3_9,D2-S11
Q3_9,D2-S12
Q3_9,D2-S13
Q3_9,D2-S14
Q3_9,D2-S15
Q3_9,D2-S16
Q3_9,D2-S2
Q3_9,D2-S3
Q3_9,D2-S4
Q3_9,D2-S5
Q3_9,D2-S6
Q3_9,D2-S7
Q3_9,D2-S8
Q3_9,D2-S9
Q3_10,D1-S1
Q3_10,D1-S10
Q3_10,D1-S11
Q3_10,D1-S12
Q3_10,D1-S13
Q3_10,D1-S14
Q3_10,D1-S15
Q3_10,D1-S16
Q3_10,D1-S2
Q3_10,D1-S3
Q3_10,D1-S4
Q3_10,D1-S5
Q3_10,D1-S6
Q3_10,D1-S7
Q3_10,D1-S8
Q3_10,D1-S9
Q3_10,D2-S1
Q3_10,D2-S10
Q3_10,D2-S11
Q3_10,D2-S12
Q3_10,D2-S13
Q3_10,D2-S14
Q3_10,D2-S15
Q3_10,D2-S16
Q3_10,D2-S2
Q3_10,D2-S3
Q3_10,D2-S4
Q3_10,D2-S5
Q3_10,D2-S6
Q3_10,D2-S7
Q3_10,D2-S8
Q3_10,D2-S9
Q3_11,D1-S1
Q3_11,D1-S10
Q3_11,D1-S11
Q3_11,D1-S12
Q3_11,D1-S13
Q3_11,D1-S14
Q3_11,D1-S15
Q3_11,D1-S16
Q3_11,D1-S2
Q3_11,D1-S3
Q3_11,D1-S4
Q3_11,D1-S5
Q3_11,D1-S6
Q3_11,D1-S7
Q3_11,D1-S8
Q3_11,D1-S9
Q3_11,D2-S1
Q3_11,D2-S10
Q3_11,D2-S11
Q3_11,D2-S12
Q3_11,D2-S13
Q3_11,D2-S14
Q3_11,D2-S15
Q3_11,D2-S16
Q3_11,D2-S2
Q3_11,D2-S3
Q3_11,D2-S4
Q3_11,D2-S5
Q3_11,D2-S6
Q3_11,D2-S7
Q3_11,D2-S8
Q3_11,D2-S9
Q3_12,D1-S1
