faculty_id,name,area,email
Q3_1,Ilan Adler,Optimization,
Q3_2,Anil Aswani,Healthcare,
Q3_4,Alper Atamturk,Optimization,
Q3_5,Ying Cui,Optimization,
Q3_6,Lee Fleming,Optimization,
Q3_7,Ken Goldberg,Robotics,
Q3_8,Paul Grigas,Optimization,
Q3_9,Xin Guo,Stochastic & Probability,
Q3_10,Dorit Hochbaum,Supply Chain & Logistics,
Q3_11,Huiwen Jia,Stochastic & Probability,
Q3_12,Philip M. Kaminsky,Supply Chain & Logistics,
Q3_13,Phillip Kerger,Optimization,
Q3_14,Javad Lavaei,Optimization,
Q3_15,Thibaut Mastrolia,Stochastic & Probability,
Q3_16,Daniel Pirutinsky,Machine Learning & AI,
Q3_17,Rhonda Righter,Supply Chain & Logistics,
Q3_18,Rajan Udwani,Optimization,
Q3_19,Chiwei Yan,Supply Chain & Logistics,
Q3_20,Candace Yano,Supply Chain & Logistics,
Q3_21,Zeyu Zheng,Stochastic & Probability,
Q3_22,Chenyang Zhong,,
Q3_23,Pieter Abbeel,Robotics,
