student_id,faculty_id,rank
S01,Q3_2,1
S01,Q3_4,2
S01,Q3_5,3
S01,Q3_6,4
S02,Q3_4,1
S02,Q3_5,2
S02,Q3_6,3
S02,Q3_7,4
S02,Q3_8,5
S03,Q3_1,1
S03,Q3_2,2
S03,Q3_4,3
S03,Q3_5,4
S03,Q3_6,5
S03,Q3_7,6
S04,Q3_2,1
S04,Q3_4,2
S04,Q3_5,3
S05,Q3_4,1
S05,Q3_5,2
S05,Q3_6,3
S05,Q3_7,4
S06,Q3_4,1
S06,Q3_16,2
S06,Q3_19,3
S06,Q3_8,4
S06,Q3_22,5
S07,Q3_8,1
S07,Q3_22,2
S07,Q3_18,3
S07,Q3_16,4
S07,Q3_7,5
S07,Q3_10,6
S08,Q3_17,1
S08,Q3_7,2
S08,Q3_15,3
S09,Q3_10,1
S09,Q3_1,2
S09,Q3_22,3
S09,Q3_18,4
S10,Q3_11,1
S10,Q3_4,2
S10,Q3_16,3
S10,Q3_6,4
S10,Q3_19,5
S11,Q3_7,1
S11,Q3_10,2
S11,Q3_22,3
S11,Q3_23,4
S11,Q3_2,5
S11,Q3_21,6
S12,Q3_20,1
S12,Q3_12,2
S12,Q3_17,3
S13,Q3_4,1
S13,Q3_20,2
S13,Q3_9,3
S13,Q3_7,4
S14,Q3_14,1
S14,Q3_21,2
S14,Q3_17,3
S14,Q3_18,4
S14,Q3_16,5
S15,Q3_18,1
S15,Q3_8,2
S15,Q3_10,3
S15,Q3_21,4
S15,Q3_13,5
S15,Q3_11,6
S16,Q3_5,1
S16,Q3_13,2
S16,Q3_17,3
S17,Q3_1,1
S17,Q3_18,2
S17,Q3_23,3
S17,Q3_22,4
S18,Q3_8,1
S18,Q3_14,2
S18,Q3_18,3
S18,Q3_10,4
S18,Q3_1,5
S19,Q3_5,1
S19,Q3_8,2
S19,Q3_4,3
S19,Q3_19,4
S19,Q3_12,5
S19,Q3_9,6
S20,Q3_1,1
S20,Q3_9,2
S20,Q3_13,3
S21,Q3_8,1
S21,Q3_19,2
S21,Q3_12,3
S21,Q3_4,4
S22,Q3_23,1
S22,Q3_19,2
S22,Q3_7,3
S22,Q3_10,4
S22,Q3_15,5
S23,Q3_17,1
S23,Q3_5,2
S23,Q3_9,3
S23,Q3_10,4
S23,Q3_1,5
S23,Q3_7,6
S24,Q3_21,1
S24,Q3_13,2
S24,Q3_22,3
S25,Q3_1,1
S25,Q3_12,2
S25,Q3_2,3
S25,Q3_20,4
S26,Q3_4,1
S26,Q3_17,2
S26,Q3_12,3
S26,Q3_5,4
S26,Q3_14,5
S27,Q3_12,1
S27,Q3_16,2
S27,Q3_23,3
S27,Q3_21,4
S27,Q3_10,5
S27,Q3_7,6
S28,Q3_13,1
S28,Q3_16,2
S28,Q3_15,3
S29,Q3_21,1
S29,Q3_19,2
S29,Q3_8,3
S29,Q3_18,4
S30,Q3_12,1
S30,Q3_13,2
S30,Q3_21,3
S30,Q3_10,4
S30,Q3_7,5
S31,Q3_19,1
S31,Q3_18,2
S31,Q3_16,3
S31,Q3_4,4
S31,Q3_6,5
S31,Q3_23,6
S32,Q3_1,1
S32,Q3_15,2
S32,Q3_14,3
S33,Q3_15,1
S33,Q3_11,2
S33,Q3_8,3
S33,Q3_12,4
S34,Q3_18,1
S34,Q3_23,2
S34,Q3_4,3
S34,Q3_19,4
S34,Q3_21,5
S35,Q3_20,1
S35,Q3_23,2
S35,Q3_15,3
S35,Q3_14,4
S35,Q3_4,5
S35,Q3_16,6
S36,Q3_16,1
S36,Q3_17,2
S36,Q3_23,3
S37,Q3_15,1
S37,Q3_12,2
S37,Q3_23,3
S37,Q3_16,4
S38,Q3_17,1
S38,Q3_5,2
S38,Q3_19,3
S38,Q3_12,4
S38,Q3_9,5
S39,Q3_17,1
S39,Q3_6,2
S39,Q3_12,3
S39,Q3_19,4
S39,Q3_8,5
S39,Q3_14,6
S40,Q3_21,1
S40,Q3_5,2
S40,Q3_7,3
S41,Q3_1,1
S41,Q3_15,2
S41,Q3_5,3
S41,Q3_20,4
S42,Q3_12,1
S42,Q3_9,2
S42,Q3_13,3
S42,Q3_1,4
S42,Q3_19,5
S43,Q3_19,1
S43,Q3_7,2
S43,Q3_21,3
S43,Q3_18,4
S43,Q3_17,5
S43,Q3_23,6
S44,Q3_4,1
S44,Q3_15,2
S44,Q3_13,3
S45,Q3_19,1
S45,Q3_2,2
S45,Q3_4,3
S45,Q3_17,4
S46,Q3_4,1
S46,Q3_23,2
S46,Q3_10,3
S46,Q3_19,4
S46,Q3_6,5
S47,Q3_9,1
S47,Q3_4,2
S47,Q3_2,3
S47,Q3_14,4
S47,Q3_21,5
S47,Q3_13,6
S48,Q3_18,1
S48,Q3_23,2
S48,Q3_13,3
S49,Q3_23,1
S49,Q3_8,2
S49,Q3_4,3
S49,Q3_16,4
S50,Q3_17,1
S50,Q3_7,2
S50,Q3_2,3
S50,Q3_4,4
S50,Q3_13,5
S51,Q3_22,1
S51,Q3_9,2
S51,Q3_23,3
S51,Q3_17,4
S51,Q3_5,5
S51,Q3_21,6
S52,Q3_14,1
S52,Q3_4,2
S52,Q3_5,3
S53,Q3_18,1
S53,Q3_12,2
S53,Q3_1,3
S53,Q3_10,4
S54,Q3_8,1
S54,Q3_18,2
S54,Q3_5,3
S54,Q3_17,4
S54,Q3_15,5
S55,Q3_4,1
S55,Q3_15,2
S55,Q3_6,3
S55,Q3_11,4
S55,Q3_10,5
S55,Q3_12,6
S56,Q3_5,1
S56,Q3_2,2
S56,Q3_23,3
S57,Q3_20,1
S57,Q3_11,2
S57,Q3_10,3
S57,Q3_15,4
S58,Q3_11,1
S58,Q3_7,2
S58,Q3_6,3
S58,Q3_5,4
S58,Q3_8,5
S59,Q3_16,1
S59,Q3_4,2
S59,Q3_10,3
S59,Q3_11,4
S59,Q3_22,5
S59,Q3_2,6
S60,Q3_10,1
S60,Q3_7,2
S60,Q3_18,3
